cmn,wen,count
-,卬,6
我,你,7
们,-,7
试,试,2
看,眙,10
那,那,1
又,就,1
-,訾,1
怎,那,2
样,能,1
-,爻,8
不,覅,5
要,-,4
说,讲,12
废,废,1
话,话,5
这,居,10
个,个,9
苹,苹,3
果,果,4
-,酸,1
很,显,4
酸,酸,1
别,覅,5
-,悗,2
忘,记,2
了,爻,8
明,明,2
天,朝,1
六,六,1
时,点,2
-,钟,1
-,走,5
来,来,8
接,接,1
我,我,49
相,相,5
信,信,5
他,渠,10
是,是,25
聪,聪,1
人,人,9
什,-,3
么,若,2
时,能,2
候,届,2
出,走,1
发,-,1
最,最,3
方,方,1
便,便,1
-,啊,3
你,你,44
永,永,2
远,远,4
会,-,1
忘,悗,2
记,记,3
打,打,5
算,算,2
把,逮,11
-,居,7
这,个,3
块,-,1
手,手,3
表,表,2
送,送,1
给,匄,4
些,厘,5
书,书,7
-,何,3
-,乜,5
谁,人,2
的,个,36
条,条,1
规,规,1
则,定,1
不,否,9
什,若,1
么,能,3
时,届,4
候,沃,1
都,可,1
适,以,1
用,用,2
天,天,3
气,气,1
每,每,3
天,日,4
-,沃,4
都,是,1
在,得,1
变,变,1
应,应,3
该,该,3
先,伉,1
和,-,1
的,-,5
父,爸,2
母,妈,2
谈,谈,2
-,一,4
-,先,1
参,参,2
加,加,2
并,并,1
多,多,6
们,厘,6
结,结,2
论,论,1
就,就,6
那,许,4
传,传,2
言,言,1
真,真,2
汤,汤,2
姆,姆,2
回,走,3
乡,乡,1
下,下,4
-,转,1
了,哦,1
-,罢,2
古,-,1
老,老,5
-,个,8
习,习,3
俗,俗,1
都,沃,5
一,一,15
代,代,2
相,-,1
来,-,3
-,渠,6
她,着,1
穿,-,2
什,何,5
么,乜,5
好,好,10
房,屋,5
子,宕,3
间,间,6
地,能,2
着,烧,1
了,起,2
火,-,1
她,渠,9
昨,昨,1
天,夜,1
为,妆,1
什,嚷,1
么,冇,1
不,走,1
房,-,1
-,里,4
除,除,2
张,张,1
桌,桌,2
子,-,2
也,-,1
没,沃,1
有,冇,1
了,-,10
过,过,4
了,去,1
三,三,4
才,新,2
知,晓,2
道,得,3
原,原,1
她,走,2
失,狃,1
踪,宕,1
了,罢,7
懂,晓,1
得,得,1
台,台,1
机,机,2
吗,啊,9
-,伐,9
叫,叫,1
怎,訾,6
么,那,5
做,做,6
很,很,2
喜,喜,2
欢,欢,2
在,缩,4
电,电,6
视,视,2
上,上,6
网,网,1
球,球,3
比,比,4
赛,赛,1
幅,幅,1
画,画,1
印,印,1
象,象,1
派,派,1
大,大,7
师,师,3
级,级,1
作,作,3
品,品,1
位,位,1
处,于,1
赤,赤,1
道,道,1
附,边,1
近,埏,2
狭,狭,1
窄,个,1
区,区,2
域,域,2
热,热,2
带,带,3
雨,雨,3
林,林,3
正,正,1
在,是,6
-,搭,2
不,不,2
断,停,1
遭,遭,1
受,受,1
类,类,1
破,破,1
坏,坏,1
预,预,1
计,计,1
二,二,1
零,零,3
年,年,4
之,之,3
前,前,2
该,居,1
将,-,1
会,会,9
有,有,9
五,五,2
分,分,1
四,四,2
从,缩,2
地,地,1
消,消,1
失,失,1
学,学,4
控,控,1
制,制,1
自,你,1
己,己,1
情,脾,1
绪,气,1
乱,乱,1
七,七,1
八,八,3
糟,糟,1
也,也,5
没,冇,4
问,问,3
题,题,2
但,但,1
肮,鏖,1
脏,糟,1
-,l,1
接,e,1
受,i,1
了,落,2
事,事,4
也,干,1
依,靠,1
赖,渠,1
公,公,1
坐,坐,1
在,居,1
角,角,1
落,落,1
的,里,1
那,个,1
-,许,4
男,男,3
人,个,2
-,人,3
谁,啊,2
请,请,3
故,故,1
从,从,2
头,头,3
到,到,3
尾,尾,1
遍,遍,1
可,可,7
以,以,9
去,去,1
吗,伐,3
定,定,2
要,着,5
考,考,1
虑,虑,1
-,灵,1
清,清,1
楚,-,1
-,己,1
想,想,9
怎,狃,1
样,色,2
工,工,2
放,放,1
假,假,1
去,走,4
么,狃,1
地,宕,1
方,-,1
玩,嬉,2
呢,-,1
切,切,1
成,成,2
两,两,2
-,对,1
半,半,1
树,树,3
种,种,2
-,起,1
瑞,瑞,1
士,士,1
-,部,1
多,分,1
能,会,1
语,话,4
言,-,1
房,房,2
禁,禁,1
止,止,1
吸,吃,1
-,香,1
烟,烟,1
走,走,3
路,路,2
这,宕,2
里,哩,1
很,会,1
痛,痛,1
了,了,2
懂,-,2
得,会,2
弹,弹,3
钢,钢,2
琴,琴,3
还,还,7
吉,吉,1
他,他,2
得,着,1
花,-,1
小,小,3
时,时,1
才,-,1
能,-,1
把,-,1
-,新,1
-,会,1
完,好,1
T,T,2
a,a,4
t,t,2
o,o,2
e,e,2
b,b,2
-,上,2
写,写,2
很,-,2
句,句,2
子,子,2
不,可,1
过,惜,1
-,还,2
别,别,3
的,样,1
让,匄,1
决,决,1
吧,-,1
圣,圣,1
诞,诞,1
节,节,1
快,快,3
生,生,1
意,意,1
-,厘,3
点,-,1
-,铰,1
剪,剪,1
刀,-,1
石,石,1
布,布,1
和,伉,3
再,再,3
见,见,1
对,对,3
一,-,1
件,件,2
要,个,1
告,伉,5
诉,-,5
-,讲,7
-,宕,8
这,边,1
里,-,2
附,-,1
亭,亭,1
少,少,2
得,显,1
可,少,1
怜,-,1
今,该,1
留,缩,1
在,-,6
家,屋,3
中,里,2
错,狃,1
在,宕,1
哪,赚,1
儿,爻,1
吗,罢,1
影,影,1
水,水,2
红,红,1
色,-,2
认,认,1
识,识,1
路,能,1
常,清,3
把,能,1
-,逮,2
只,只,3
插,插,1
裤,裤,2
袋,兜,1
里,里,2
开,开,5
始,始,1
暗,暗,1
麻,麻,1
烦,烦,2
帮,逮,1
-,灯,1
灯,开,1
前,早,1
住,住,2
-,匄,2
被,渠,1
拆,拆,1
毁,罢,1
校,堂,2
女,奶,1
孩,儿,2
-,娒,2
-,日,1
早,光,1
上,-,1
喝,呷,1
杯,杯,1
这,缩,2
里,居,3
十,十,4
后,后,1
份,份,1
文,文,1
有,恁,1
多,-,1
重,重,1
要,要,1
母,阿,1
亲,妈,1
那,能,1
轻,轻,2
动,动,2
女,女,1
孩,个,1
婚,婚,1
点,厘,2
咖,咖,1
