cmn,yue,count
我们,我哋,8
们试,哋试,1
试试,试吓,1
试看,吓吖,1
那又,嗯咁,1
又怎,咁呢,1
怎样,呢-,1
不要,唔好,2
要-,好喺,1
-说,喺度,1
说废,度乱,1
废话,乱噏,1
话-,噏廿,1
--,廿四,1
这个,呢粒,1
个苹,粒苹,1
苹果,苹果,3
果很,果好,1
很酸,好酸,1
--,唔好,2
-别,好唔,1
别忘,唔记,1
忘了,记得,1
了明,得听,1
明天,听日,1
天六,日六,1
六时,六点,1
时来,点嚟,1
来接,嚟搵,1
接我,搵我,1
我-,我喎,1
我相,我-,1
相信,-谂,1
信他,谂佢,1
他是,佢系,2
是个,系-,1
个聪,-聪,1
聪明,聪明,1
明人,明人,1
人-,人嚟,1
--,嚟嘅,1
什么,-几,3
么时,几时,3
时候,时-,3
候出,-出,1
出发,出发,1
发最,发最,1
最方,最方,1
方便,方便,1
便你,便你,1
我永,我永,1
永远,永远,1
远不,远都,1
不-,都唔,1
-会,唔会,1
会忘,会忘,1
忘记,忘记,1
记你,记你,1
我打,我谂,1
打算,谂住,2
算把,住送,1
把这,送呢,1
这块,呢-,1
块手,-只,1
手表,只表,1
表送,表-,1
送给,-俾,1
给你,俾你,1
这些,-啲,1
些书,啲书,1
书是,书-,1
是谁,-边,1
谁的,边个,2
的-,个㗎,2
这条,呢条,1
条规,条规,1
规则,规则,1
则不,则唔,1
不是,唔系,2
是什,系-,1
候都,-都,1
都适,都啱,1
适用,啱用,1
用的,用㗎,1
天气,天气,1
气每,气每,1
每天,每日,1
天都,日都,1
都-,都喺,1
-在,喺度,2
在变,度变,1
变-,变紧,1
你应,你应,3
应该,应该,3
该先,该-,1
先和,-同,1
和你,同你,2
你的,你阿,1
的父,阿爸,2
父-,爸阿,3
-母,阿妈,3
母谈,妈倾,1
谈-,倾吓,1
-谈,吓先,1
-参,唔系,1
参加,系好,1
加的,好多,1
的人,多人,1
人并,人-,1
并不,-有,1
不多,有嚟,1
们的,哋嘅,1
的结,嘅结,1
结论,结论,1
论就,论就,1
就是,就系,1
是那,系-,1
那个,-个,1
个传,个传,1
传言,传言,1
言是,言系,1
是真,系真,1
真的,真嘅,1
汤-,阿T,2
-姆,To,2
姆-,om,2
-回,m返,1
回-,返咗,1
-乡,咗乡,1
乡下,乡下,1
下了,下-,1
这些,呢啲,2
些古,啲古,1
古老,古老,1
老-,老嘅,1
-习,嘅习,1
习俗,习俗,1
俗都,俗都,1
都是,都系,2
是一,系一,1
一代,一代,2
代一,代一,1
代相,代噉,1
相传,噉传,1
传下,传落,1
下来,落嚟,3
来的,嚟嘅,1
她穿,佢着,1
穿什,着-,1
什么,-咩,6
么都,咩都,1
都好,都咁,1
好看,咁靓,1
-房,啲屋,2
房子,屋-,1
子一,-一,1
一间,一间,2
间一,间一,1
间地,间噉,1
地着,噉着,1
着了,着咗,1
了火,咗火,1
她昨,佢寻,1
昨天,寻日,1
天为,日做,1
为什,做-,1
么不,咩唔,1
不来,唔嚟,1
来-,嚟嘅,1
他的,佢间,1
的房,间房,1
房间,房-,2
间除,-除,1
除了,除咗,2
了一,咗-,1
一张,-张,1
张桌,张枱,1
桌子,枱-,2
子就,-就,1
就什,就-,1
么也,咩都,1
也没,都无,2
没有,无喇,1
有了,喇-,1
过了,过咗,1
了三,咗三,1
三天,三日,1
天我,日我,1
我才,我先,2
才知,先知,2
知道,知-,3
道原,-原,1
原来,原来,1
来她,来佢,1
她失,佢失,1
失-,失咗,1
-踪,咗踪,1
踪了,踪-,1
你什,你-,1
候回,-返,1
回-,返嚟,1
-来,嚟呀,1
你懂,你识,1
懂得,识唔,1
得-,唔识,1
-用,识用,1
用这,用呢,1
这台,呢部,1
台相,部相,1
相机,相机,1
机吗,机呀,1
我叫,我叫,1
叫你,叫你,1
你怎,你-,1
怎么,-点,5
么做,点做,2
做你,做你,1
你就,你就,1
就怎,就-,1
