wen,yue,count
卬,-,7
你,我,6
-,哋,6
试,试,1
试,吓,1
眙,吖,1
那,嗯,1
就,咁,1
訾,-,8
那,呢,1
能,-,4
爻,-,9
覅,唔,9
讲,好,1
-,喺,9
-,度,2
废,乱,1
话,噏,1
-,廿,1
-,四,1
居,呢,12
个,粒,1
苹,苹,3
果,果,4
酸,好,1
显,-,4
酸,酸,1
-,好,12
悗,唔,3
记,记,4
爻,得,2
明,听,1
朝,日,1
六,六,1
点,点,2
钟,-,1
走,-,7
来,嚟,3
接,搵,1
我,我,48
-,喎,3
相,-,4
信,谂,1
渠,佢,26
是,系,14
个,-,12
聪,聪,1
明,明,1
人,人,9
-,嚟,3
-,嘅,3
若,几,1
能,时,2
届,出,1
走,发,1
最,最,3
方,方,1
便,便,1
啊,-,1
你,你,43
永,永,1
远,远,3
-,都,3
-,会,1
悗,忘,1
打,谂,2
算,住,2
逮,送,1
个,只,1
手,-,1
表,表,2
送,俾,1
匄,-,5
居,-,5
厘,啲,6
书,书,6
是,边,2
何,-,7
乜,-,3
人,-,4
个,个,12
-,㗎,5
条,条,1
规,规,1
定,-,1
否,-,1
是,则,1
若,唔,1
能,系,1
届,几,1
沃,-,8
可,时,1
以,都,1
-,啱,1
用,用,2
个,㗎,4
天,天,2
气,气,1
每,每,1
日,日,4
是,都,2
得,度,2
变,变,1
-,紧,3
应,应,3
该,该,3
伉,同,4
-,阿,8
爸,爸,4
妈,妈,5
谈,倾,1
一,-,3
谈,吓,1
先,先,1
-,唔,15
参,系,1
加,好,1
个,多,1
并,有,1
否,嚟,1
多,-,2
厘,哋,3
个,嘅,15
结,结,2
论,论,1
就,就,5
许,-,2
传,传,2
言,言,1
真,真,2
汤,阿,2
-,T,2
姆,o,2
-,m,1
走,返,3
-,咗,10
乡,乡,1
下,下,1
转,-,1
哦,-,1
罢,-,3
-,古,1
老,老,5
习,习,1
俗,俗,1
-,系,5
一,一,10
代,代,2
-,噉,2
下,落,2
着,着,2
-,咩,2
何,都,1
乜,咁,1
好,靓,1
眙,-,2
-,啲,8
屋,屋,8
宕,-,10
间,间,4
能,着,1
烧,火,1
起,-,2
-,寻,1
昨,日,1
夜,做,1
妆,咩,1
嚷,唔,1
冇,嚟,2
来,嘅,1
里,房,1
除,除,2
一,咗,1
张,张,2
桌,枱,2
乜,咩,5
沃,无,1
冇,喇,1
过,过,4
去,咗,1
三,三,3
新,先,2
晓,-,1
得,知,1
原,原,1
来,来,1
走,失,1
狃,咗,1
罢,踪,1
若,-,2
能,几,1
届,时,1
来,呀,1
晓,识,1
得,唔,1
-,识,5
台,部,1
相,相,1
机,机,2
啊,呀,5
伐,-,9
叫,叫,1
那,点,4
做,做,5
很,好,2
喜,锺,2
欢,意,2
缩,喺,4
电,电,4
视,视,2
上,度,4
眙,睇,5
网,网,1
球,球,3
比,比,1
赛,赛,1
许,嗰,3
幅,幅,1
画,画,1
印,印,1
象,象,1
派,派,1
大,大,5
师,师,3
级,级,1
作,作,1
品,品,1
位,-,1
于,喺,1
赤,赤,1
道,道,1
边,附,1
埏,近,1
狭,狭,1
个,窄,1
区,区,2
域,域,2
热,热,2
带,带,3
雨,雨,3
林,林,2
正,-,1
是,而,1
搭,家,1
不,不,1
停,断,1
能,咁,1
遭,-,1
受,俾,1
类,类,1
破,破,1
坏,坏,1
预,预,1
计,计,1
是,喺,2
二,二,1
零,零,3
年,年,2
之,之,3
前,前,2
-,嗰,6
居,个,1
会,会,5
有,有,9
五,五,2
分,分,1
四,四,2
地,地,1
消,消,1
失,失,1
学,学,4
习,吓,1
控,控,1
制,制,1
你,自,1
己,己,1
脾,情,1
气,绪,1
-,狗,1
-,窦,1
宕,咁,1
乱,乱,1
七,-,1
八,-,1
糟,我,1
也,都,3
冇,顶,1
问,得,1
题,顺,1
但,但,1
鏖,污,1
糟,糟,1
话,话,3
l,就,1
e,接,1
i,受,1
否,唔,8
落,到,1
事,事,2
干,都,1
靠,靠,1
渠,晒,1
-,个,6
公,公,1
坐,坐,1
居,喺,1
角,角,1
落,落,2
里,-,5
个,头,1
男,男,2
-,人,2
-,边,2
是,-,6
乜,嚟,2
啊,㗎,7
请,该,3
逮,将,2
故,故,1
从,由,1
头,头,2
到,到,2
尾,尾,1
你,-,1
讲,讲,11
-,晒,2
-,俾,3
一,我,1
-,地,1
遍,听,1
-,可,4
可,可,6
以,以,7
去,去,1
伐,呀,3
定,定,1
着,要,4
考,-,1
虑,谂,1
灵,-,1
清,清,1
-,楚,1
己,-,1
想,想,7
狃,啲,1
色,-,1
个,点,1
工,工,1
作,-,1
放,放,1
假,假,1
走,去,4
狃,度,1
宕,玩,1
嬉,呀,1
切,切,1
成,开,1
两,两,2
对,-,1
半,分,1
树,树,3
种,种,2
瑞,瑞,1
士,士,1
大,多,1
部,-,1
分,数,1
会,识,7
话,语,1
-,言,1
个,间,3
房,房,2
间,-,1
是,唔,1
