wuu,wen,count
阿拉试,卬你试,1
拉试试,你试试,1
试试-,试试眙,1
哏末-,那就訾,1
末-哪,就訾那,1
-哪能,訾那能,1
哪能呢,那能爻,1
侬勿要,-覅-,1
勿要瞎,覅--,1
要瞎讲,--讲,1
瞎讲-,-讲废,1
讲--,讲废话,1
搿只苹,居个苹,1
只苹果,个苹果,1
苹果老,苹果-,1
果老酸,果-酸,1
老酸个,-酸显,1
酸个-,酸显酸,1
勿要忘,覅-悗,3
要忘记,-悗记,3
忘记脱,悗记爻,2
记脱明,记爻明,1
脱明朝,爻明朝,1
明朝-,明朝六,1
朝-点,朝六点,1
-点钟,六点钟,1
点钟-,点钟走,1
钟-来,钟走来,1
-来寻,走来接,1
来寻我,来接我,1
我相信,我相信,1
相信伊,相信渠,1
信伊是,信渠是,1
伊是个,渠是个,2
是个聪,是个聪,1
个聪明,个聪明,1
聪明人,聪明人,1
啥辰光,-若能,1
辰光出,若能届,1
光出发,能届走,1
出发最,届走最,1
发最方,走最方,1
最方便,最方便,1
方便侬,方便啊,1
便侬-,便啊你,1
我永远,我永远,1
永远勿,永远覅,2
远勿会,远覅-,1
勿会得,覅--,1
会得忘,--悗,1
得忘记,-悗记,1
忘记脱,悗记-,1
记脱侬,记-你,1
我打算,我打算,1
打算拿,打算逮,1
算拿搿,算逮居,1
拿搿只,逮居个,1
搿只手,居个手,1
只手表,个手表,1
手表送,手表送,1
表送拨,表送匄,1
送拨侬,送匄你,1
-搿眼,居厘书,1
搿眼是,厘书是,1
眼是啥,书是何,1
是啥-,是何乜,3
啥-人,何乜人,3
-人个,乜人个,2
人个书,人个-,1
搿条规,居条规,1
条规则,条规定,1
规则勿,规定否,1
则勿是,定否是,1
勿是-,否是若,1
是-啥,是若能,1
-啥个,若能届,2
啥个辰,能届沃,1
个辰光,届沃-,1
辰光侪,沃-可,1
光侪适,-可以,1
侪适用,可以用,1
适用个,以用个,1
天气每,天气每,1
气每日,气每日,1
每日-,每日沃,1
日-天,日沃是,1
-天侪,沃是-,1
天侪垃,是--,1
侪垃海,--得,1
垃海变,-得变,1
侬应该,你应该,3
应该-,应该伉,1
该-跟,该伉你,1
-跟㑚,伉你爸,1
跟㑚爷,你爸妈,1
㑚爷娘,爸妈-,1
爷娘谈,妈-谈,1
娘谈清,-谈一,1
谈清爽,谈一谈,1
清爽先,一谈先,1
呒没多,参加个,1
没多少,加个-,1
多少人,个-人,1
少人-,-人并,1
人-垃,人并否,1
-垃海,并否多,1
阿拉个,我厘个,1
拉个结,厘个结,1
个结论,个结论,1
结论就,结论就,1
论就是,论就是,1
就是诶,就是许,1
是诶额,是许个,1
诶额传,许个传,1
额传言,个传言,1
传言是,传言是,1
言是真,言是真,1
是真个,是真个,1
汤姆回,汤姆走,1
姆回到,姆走-,1
回到乡,走-乡,1
到乡下,-乡下,1
乡下头,乡下转,1
下头了,下转哦,1
头了-,转哦罢,1
搿眼古,居-厘,1
眼古老,-厘老,1
古老个,厘老个,1
老个习,老个习,1
个习俗,个习俗,1
习俗侪,习俗沃,1
俗侪是,俗沃是,1
侪是一,沃是一,1
是一代,是一代,1
一代一,一代一,1
代一代,代一代,1
一代传,一代-,1
代传统,代--,1
传统传,--传,1
统传下,-传下,1
传下来,传下-,1
下来个,下-个,1
伊穿啥,渠着何,1
穿啥侪,着何乜,1
啥侪-,何乜沃,1
侪-好,乜沃好,1
-好看,沃好眙,1
房子一,屋宕一,1
子一家,宕一间,1
一家家,一间一,1
家家着,间一间,1
家着起,一间能,1
着起火,间能烧,1
起火来,能烧起,1
伊昨日,渠昨夜,1
昨日啥,昨夜-,1
日啥个,夜-妆,1
啥个道,-妆嚷,1
个道理,妆嚷冇,1
道理勿,嚷冇走,1
理勿来,冇走来,1
伊个房,渠个-,1
个房间,个-间,1
房间-,-间里,1
间-除,间里除,1
-除-,里除爻,1
除-脱,除爻一,1
-脱张,爻一张,1
脱张桌,一张桌,1
张桌凳,张桌-,1
桌凳别,桌--,1
凳别样,--就,1
别样物,-就-,1
样物事,就-何,1
物事侪,-何乜,1
事侪呒,何乜沃,1
侪呒没,乜沃冇,1
过了三,过去三,1
了三天,去三日,1
三天我,三日我,1
天我侪,日我新,1
我侪晓,我新晓,2
侪晓得,新晓得,2
晓得原,晓得原,1
得原来,得原来,1
原来伊,原来渠,1
来伊失,来渠走,1
伊失踪,渠走狃,1
失踪-,走狃宕,1
踪-了,狃宕罢,1
侬-啥,你若能,1
啥个辰,能届-,1
个辰光,届--,1
辰光回,--走,1
光回来,-走来,1
侬懂勿,-你晓,1
懂勿懂,你晓得,1
勿懂用,晓得用,1
懂用搿,得用居,1
用搿部,用居台,1
搿部照,居台-,1
部照相,台-相,1
照相机,-相机,1
相机-,相机啊,1
机-伐,机啊伐,1
按照我,--我,1
照我跟,-我叫,1
我跟侬,我叫你,1
跟侬-,叫你訾,1
侬-讲,你訾那,1
-讲个,訾那做,1
讲个搿,那做你,1
个搿能,做你就,1
搿能-,你就訾,1
能--,就訾那,1
--做,訾那做,1
伊老欢,渠很-,1
老欢喜,很-喜,1
欢喜垃,-喜欢,1
喜垃-,喜欢缩,1
垃-电,欢缩电,1
-电视,缩电视,1
电视浪,电视-,1
视浪向,视-上,1
浪向看,-上眙,1
向看网,上眙网,1
看网球,眙网球,1
网球比,网球比,1
球比赛,球比赛,1
比赛个,比赛-,1
哀幅画,许幅画,1
幅画是,幅画是,1
画是印,画是印,1
是印象,是印象,1
印象派,印象派,1
象派个,象派个,1
派个大,派个大,1
个大师,个大师,1
大师级,大师级,1
师级作,师级作,1
级作-,级作品,1
拉垃赤,位于赤,1
垃赤道,于赤道,1
赤道附,赤道边,1
道附近,道边埏,1
附近一,边埏一,1
近一个,埏一个,1
一个邪,一个-,1
个邪气,个-狭,1
邪气笑,-狭-,1
气笑个,狭-个,1
笑个区,-个区,1
个区域,个区域,1
区域个,区域个,1
域个热,域个热,1
个热带,个热带,2
热带雨,热带雨,2
带雨林,带雨林,2
雨林-,雨林正,1
林--,林正是,1
---,正是搭,1
--勿,是搭不,1
-勿停,搭不停,1
勿停个,不停能,1
停个-,停能遭,1
个-受,能遭受,1
-受到,遭受-,1
受到人,受-人,1
到人类,-人类,1
人类个,人类个,1
类个破,类个破,1
个破坏,个破坏,1
破坏预,破坏预,1
坏预计,坏预计,1
预计拉,预计是,1
计拉垃,计是-,1
拉垃两,是-二,1
垃两零,-二零,1
两零零,二零零,1
零零零,零零零,1
零零年,零零年,1
零年之,零年之,1
年之前,年之前,1
之前搿,之前居,1
前搿个,前居-,1
搿个区,居-区,1
个区域,-区域,1
区域-,区域会,1
域-个,域会有,1
-个五,会有五,1
个五分,有五分,1
五分之,五分之,1
分之四,分之四,1
之四个,之四个,1
四个热,四个热,1
雨林将,雨林缩,1
林将会,林缩-,1
将会得,缩--,1
会得从,---,1
得从地,--地,1
从地球,-地球,1
地球浪,地球上,1
球浪消,球上消,1
浪消失,上消失,1
应该学,应该学,1
该学会,该学习,1
学会控,学习控,1
会控制,习控制,1
控制自,控制你,1
制自家,制你己,1
自家个,你己个,1
家个情,己个脾,1
个情绪,个脾气,1
屋里向,屋-宕,2
里向乱,-宕乱,1
向乱七,宕乱七,1
乱七八,乱七八,1
七八糟,七八糟,1
八糟也,八糟也,1
糟也呒,糟也-,1
也呒没,也-冇,1
呒没问,-冇问,1
没问题,冇问题,1
问题个,问题-,1
题个但,题-但,1
个但-,-但是,1
但-龌,但是鏖,1
-龌龊,是鏖糟,1
龌龊个,鏖糟个,1
龊个闲,糟个-,1
个闲话,个-话,1
闲话我,-话我,1
话我是,话我l,1
我是-,我le,1
是-勿,lei,1
-勿能,ei否,1
勿能够,i否-,1
能够接,否-落,1
够接受,-落-,1
接受个,落--,1
伊像啥,渠何乜,1
像啥事,何乜事,1
啥事体,乜事干,1
事体侪,事干沃,1
体侪依,干沃-,1
侪依靠,沃-靠,1
依靠-,-靠渠,1
靠-老,靠渠老,1
-老公,渠老公,1
老公个,老公-,1
坐了角,坐居角,1
了角落,居角落,1
角落里,角落里,1
落里个,落里个,1
里个哀,里个许,1
个哀个,个许个,1
哀个男,许个男,1
个男人,个男个,2
男人是,男个是,2
人是啥,个是何,1
-人-,乜人啊,1
谢谢侬,-请-,1
谢侬拿,请-你,1
侬拿搿,-你逮,1
拿搿个,你逮-,1
搿个故,逮-故,1
个故事,-故事,1
故事从,故事从,1
事从头,事从头,1
从头到,从头到,1
头到底,头到尾,1
到底-,到尾匄,1
底--,尾匄卬,1
---,匄卬你,1
--讲,卬你讲,1
-讲拨,你讲一,1
讲拨阿,讲一-,1
拨阿拉,一--,1
阿拉听,--遍,1
侬可以,你可以,3
可以带,可以带,1
以带我,以带我,1
带我-,带我走,1
我-去,我走去,1
-去伐,走去伐,1
侬一定,你一定,1
一定要,一定着,1
定要考,定着考,1
要考虑,着考虑,1
考虑-,考虑灵,1
虑-清,虑灵清,1
-清爽,灵清你,1
清爽侬,清你己,1
爽侬想,你己想,1
侬想做,己想做,1
想做哪,想做狃,1
做哪能,做狃能,1
哪能样,狃能色,1
能样个,能色个,1
样个工,色个工,1
个工作,个工作,1
侬放假,你放假,1
放假打,放假打,1
假打算,假打算,1
打算到,打算-,1
算到啊,算--,1
到啊里,---,1
啊里耷,---,1
里耷去,--走,1
耷去白,-走狃,1
去白相,走狃宕,1
白相呢,狃宕嬉,1
伊拿苹,渠逮苹,1
拿苹果,逮苹果,1
苹果一,苹果切,1
果一劈,果切成,1
一劈两,切成两,1
劈两-,成两对,1
两--,两对半,1
搿些树,居厘树,1
些树是,厘树是,1
树是伊,树是渠,1
是伊拉,是渠厘,1
伊拉种,渠厘种,1
拉种-,厘种起,1
种-个,种起个,1
瑞士人,瑞士人,1
士人大,士人大,1
人大多,人大部,1
大多数,大部分,1
多数会,部分会,1
数会得,分会-,1
会得讲,会-讲,2
得讲三,-讲三,1
讲三四,讲三四,1
三四种,三四种,1
四种语,四种话,1
种语言,种话-,1
-搿房,居个房,1
搿房间,个房间,1
房间是,房间是,1
间是禁,间是禁,1
是禁止,是禁止,1
禁止吃,禁止吃,1
止吃香,止吃香,1
吃香烟,吃香烟,1
香烟个,香烟个,1
我一走,我一走,1
一走路,一走路,1
走路-,走路居,1
路-搿,路居宕,1
-搿搭,居宕哩,1
搿搭就,宕哩就,1
搭就老,哩就会,1
就老痛,就会痛,1
老痛个,会痛-,1
伊除脱,渠除-,1
除脱懂,除-了,1
脱懂得,-了会,1
懂得弹,了会弹,1
得弹钢,会弹钢,1
弹钢琴,弹钢琴,2
钢琴还,钢琴还,1
琴还懂,琴还-,1
还懂得,还-会,1
懂得弹,-会弹,1
得弹吉,会弹吉,1
弹吉他,弹吉他,1
伊会得,渠会-,1
会得弹,会-弹,1
得弹钢,-弹钢,1
钢琴-,钢琴啊,1
琴-伐,琴啊伐,1
我想伊,我想-,1
想伊要,想-他,1
伊要花,-他着,1
要花两,他着两,1
花两个,着两个,1
两个钟,两个小,1
个钟头,个小-,1
钟头才,小-时,1
头才好,-时-,1
才好挪,时--,1
好挪工,--工,1
挪工作,-工作,1
工作-,工作新,1
作--,作新会,1
--做,新会做,1
-做光,会做好,1
我老想,我真想,1
老想拉,真想缩,1
想拉垃,想缩-,1
拉垃T,缩-T,1
垃Ta,-Ta,2
Tat,Tat,2
ato,ato,2
toe,toe,2
oeb,oeb,2
eba,eba,2
ba浪,ba上,1
a浪写,a上写,1
浪写交,上写多,1
写交关,写多显,1
交关交,多显多,1
关交关,显多个,1
交关句,多个句,1
关句子,个句子,1
句子但,句子可,1
子但是,子可惜,1
但是我,可惜我,1
是我-,惜我还,1
我-有,我还有,1
-有别,还有别,1
有别个,有别样,1
别个事,别样事,1
个事体,样事个,1
事体要,事个着,1
体要做,个着做,1
阿拉还,卬你还,1
拉还是,你还是,1
还是等,还是匄,1
是等老,是匄老,1
等老师,匄老师,1
老师决,老师决,1
师决定,师决定,1
决定伐,决定-,1
圣诞节,圣诞节,1
诞节-,诞节快,1
节-到,节快到,1
-到快,快到罢,1
到快生,到罢生,1
快生意,罢生意,1
生意也,生意也,1
意也好,意也好,1
也好-,也好厘,1
好-点,好厘了,1
榔头剪,-铰剪,1
头剪刀,铰剪石,1
剪刀纸,剪石-,1
刀纸头,石-头,1
纸头-,-头布,1
我要帮,我着-,1
要帮侬,着-伉,1
帮侬-,-伉你,1
侬-讲,伉你讲,1
-讲再,你讲再,1
讲再会,讲再见,1
再会了,再见爻,1
对个我,对爻我,1
个我有,爻我有,1
我有桩,我有件,1
有桩事,有件事,1
桩事体,件事个,1
事体-,事个伉,1
体-要,个伉你,1
-要跟,伉你-,1
要跟侬,你--,1
跟侬讲,--讲,1
搿搭附,居宕边,1
搭附近,宕边埏,1
附近个,边埏个,1
近个电,埏个电,1
个电话,个电话,1
电话亭,电话亭,1
话亭少,话亭少,1
亭少了,亭少显,1
少了可,少显少,1
了可怜,显少-,1
汤姆今,汤姆该,1
姆今朝,姆该日,1
今朝要,该日着,1
朝要留,日着-,1
要留拉,着-缩,1
留拉屋,-缩屋,1
拉屋里,缩屋里,1
屋里向,屋里啊,1
里向伐,里啊伐,1
可以告,可以伉,1
以告诉,以伉-,1
告诉我,伉-我,3
诉我-,-我讲,3
我-我,我讲我,1
-我错,讲我狃,1
我错拉,我狃宕,1
错拉阿,狃宕-,1
拉阿里,宕-赚,1
阿里搭,-赚爻,1
里搭伐,赚爻罢,1
电影好,电影好,1
影好看,影好眙,1
好看伐,好眙伐,1
啥个水,何乜水,1
个水果,乜水果,1
水果是,水果是,1
果是红,果是红,1
是红颜,是红-,1
红颜色,红--,1
颜色个,--个,1
侬是-,你是訾,1
是-哪,是訾那,1
-哪能,訾那-,2
哪能认,那-认,1
能认得,-认识,1
认得伊,认识渠,1
得伊个,识渠个,1
伊走路,渠走能,1
走路个,走能届,1
路个辰,能届沃,1
个辰光,届沃清,1
辰光常,沃清清,1
光常常,清清能,1
常常拿,清能逮,1
常拿一,能逮一,1
拿一只,逮一只,1
一只手,一只手,1
只手插,只手插,1
手插拉,手插-,1
插拉裤,插-裤,1
拉裤袋,-裤兜,1
裤袋里,裤兜里,1
天色开,天-开,1
色开始,-开始,1
开始暗,开始暗,1
始暗-,始暗爻,1
暗-了,暗爻罢,1
-了麻,爻罢麻,1
了麻烦,罢麻烦,1
麻烦侬,麻烦你,1
烦侬帮,烦你逮,1
侬帮我,你逮我,1
帮我-,逮我灯,1
我-开,我灯开,1
-开-,灯开一,1
开-灯,开一开,1
阿拉以,卬你以,1
拉以前,你以早,1
以前住,以早住,1
前住个,早住个,1
住个房,住个屋,1
个房子,个屋宕,1
房子-,屋宕匄,1
子-被,宕匄渠,1
-被拆,匄渠拆,1
被拆-,渠拆爻,1
拆-脱,拆爻罢,1
-脱了,爻罢-,2
搿间学,居间学,1
间学堂,间学堂,1
学堂女,学堂奶,1
堂女小,堂奶儿,1
女小人,奶儿娒,1
小人比,儿娒比,1
人比男,娒比男,1
比男小,比男儿,1
男小人,男儿娒,1
小人多,儿娒多,1
