wuu,yue,count
阿拉,我哋,8
拉试,哋试,1
试试,试吓,1
试-,吓吖,1
哏末,--,1
末哪,-嗯,1
哪能,嗯咁,1
能呢,咁呢,1
侬勿,唔好,1
勿-,好喺,1
-要,喺度,1
要瞎,度乱,1
瞎讲,乱噏,1
讲-,噏廿,1
--,廿四,1
搿只,呢粒,1
只苹,粒苹,1
苹果,苹果,3
果老,果好,1
老酸,好酸,1
酸个,酸-,1
勿要,唔好,3
要忘,好唔,3
忘记,唔记,3
记-,记得,1
-脱,得听,1
脱明,听日,1
明朝,日六,1
朝点,六点,1
点钟,点-,2
钟来,-嚟,1
来寻,嚟搵,1
寻我,搵我,1
我-,我喎,1
我相,我-,1
相信,-谂,1
信伊,谂佢,1
伊是,佢系,2
是个,系-,1
个聪,-聪,1
聪明,聪明,1
明人,明人,1
人-,人嚟,1
--,嚟嘅,1
啥辰,几时,1
辰光,时-,2
光出,-出,1
出发,出发,1
发最,发最,1
最方,最方,1
方便,方便,1
便侬,便你,1
我永,我永,1
永远,永远,1
远勿,远都,1
勿-,都唔,1
-会,唔会,1
会得,会-,1
得忘,-忘,1
忘记,忘记,1
记脱,记-,1
脱侬,-你,1
我打,我谂,1
打算,谂住,1
算拿,住送,1
拿搿,送呢,1
搿只,呢只,1
只手,只-,1
手表,-表,1
表送,表俾,1
送拨,俾-,1
拨侬,-你,1
搿眼,啲-,1
眼是,-书,1
是啥,书-,1
啥人,-边,2
人个,边个,2
个书,个㗎,1
搿条,呢条,1
条规,条规,1
规则,规则,1
则勿,则唔,1
勿是,唔系,2
是啥,系几,1
啥个,几时,1
个辰,时-,1
辰光,--,3
光侪,-都,1
侪适,都啱,1
适用,啱用,1
用个,用㗎,1
天气,天气,1
气每,气每,1
每日,每日,1
日天,日都,1
天侪,都喺,1
侪垃,喺-,1
垃海,-度,1
海变,度变,1
变-,变紧,1
侬应,你应,3
应该,应该,3
该跟,该同,1
跟㑚,同你,1
㑚爷,你阿,1
爷娘,阿爸,1
娘-,爸阿,1
-谈,阿妈,1
谈清,妈倾,1
清爽,倾吓,1
爽先,吓先,1
呒-,唔系,1
-没,系好,1
没多,好多,1
多少,多-,1
少人,-人,1
人垃,人-,1
垃海,-有,1
海-,有嚟,1
拉个,哋嘅,1
个结,嘅结,1
结论,结论,1
论就,论就,1
就是,就系,1
是诶,系-,1
诶额,-个,1
额传,个传,1
传言,传言,1
言是,言系,1
是真,系真,1
真个,真嘅,1
汤-,阿T,2
-姆,To,2
姆-,om,2
-回,m返,1
回到,返咗,1
到乡,咗乡,1
乡下,乡下,1
下头,下-,1
头了,--,1
搿眼,呢啲,1
眼古,啲古,1
古老,古老,1
老个,老嘅,1
个习,嘅习,1
习俗,习俗,1
俗侪,俗-,1
侪是,-都,2
是-,都系,1
-一,系一,1
一代,一代,2
代一,代一,1
代传,代-,1
传统,-噉,1
统传,噉传,1
传下,传落,1
下来,落嚟,2
来个,嚟嘅,1
伊穿,佢着,2
穿啥,着咩,1
啥侪,咩都,1
侪好,都咁,1
好看,咁靓,1
-房,啲屋,1
房子,屋-,1
子一,-一,1
一-,一间,1
-家,间一,1
家家,一间,1
家-,间噉,1
-着,噉着,1
着起,着咗,1
起火,咗火,1
火来,火-,1
伊昨,-佢,1
昨-,佢寻,1
-日,寻日,1
日啥,日做,1
啥个,做-,1
个道,-咩,1
道理,咩唔,1
理勿,唔嚟,1
勿来,嚟嘅,1
伊个,佢间,1
个房,间房,1
房间,房-,1
间除,-除,1
除脱,除咗,2
脱张,咗张,1
张桌,张枱,1
桌凳,枱-,1
凳别,-就,1
别样,就咩,1
样物,咩-,1
物事,-都,1
事侪,都无,1
侪呒,无喇,1
呒没,喇-,1
过了,过咗,1
了三,咗三,1
三天,三日,1
天我,日我,1
我侪,我先,2
侪晓,先-,1
晓得,-知,2
得原,知原,1
原来,原来,1
来伊,来佢,1
伊失,佢失,1
失-,失咗,1
-踪,咗踪,1
踪了,踪-,1
侬啥,-你,1
啥个,你几,1
个辰,几时,1
