,cmn,wen,count
0,我们,卬你,4
1,看,眙,6
2,又怎样,就訾那能爻,1
3,不要说,覅讲,1
4,这,居,6
5,很,显酸,1
6,别忘了,覅悗记爻,1
7,天,朝,1
8,时,点钟走,1
9,他,渠,6
10,什么时候出发,若能届走,1
11,不会忘,覅悗,1
12,把这块,逮居个,1
13,给,匄,2
14,这些,居厘,2
15,谁的,何乜人个,1
16,则不,定否,1
17,什么时候都适,若能届沃可以,1
18,的,个,17
19,天都在,日沃是得,1
20,和你的父母谈谈,伉你爸妈谈一谈,1
21,不,否,5
22,们的,厘个,1
23,那,许,3
24,回,走,1
25,了,转哦罢,1
26,这些古,居厘,1
27,都,沃,2
28,来的,个,1
29,相,个,1
30,她穿什么都,渠着何乜沃,1
31,房子,屋宕,2
32,地着了火,能烧起,1
33,她,渠,4
34,天为什么不,夜妆嚷冇走,1
35,他的房,渠个,1
36,了,爻,5
37,什么也没有了,何乜沃冇,1
38,子,里,1
39,了,去,1
40,天,日,1
41,才知道,新晓得,1
42,她失踪了,渠走狃宕罢,1
43,什么时候回,若能届走,1
44,懂,晓,1
45,吗,啊伐,6
46,怎么,訾那,3
47,在,缩,3
48,处,于,1
49,附近,边埏,1
50,窄,个,1
51,在,是搭,1
52,断地,停能,1
53,在,是,1
54,该,居,1
55,从,缩,2
56,自,你,1
57,的情绪,个脾气,1
58,没,冇,1
59,肮脏的,鏖糟个,1
60,接受不了,lei否落,1
61,她什么,渠何乜,1
62,也依赖,干沃靠渠,1
63,在,居,1
64,的那,里个许,1
65,是谁,啊,2
66,把,逮,4
67,给我们说,匄卬你讲,1
68,吗,伐,1
69,要,着,1
70,怎么样的,狃能色个,1
71,楚,灵,1
72,去什么地方玩呢,走狃宕嬉,1
73,她把,渠逮,1
74,了,对,1
75,他们,渠厘,1
76,的,起个,1
77,多能说,部分会讲,1
78,语言,话,1
79,这,居个,1
80,吸,吃香,1
81,这里,居宕哩,1
82,很,会,1
83,懂得,会,2
84,得花,着,1
85,完,好,1
86,才能把,新会,1
87,很,显,1
88,不过,可惜,1
89,的,样,1
90,要,个着,1
91,很,上,1
92,让,匄,1
93,了,罢,3
94,点,厘,2
95,刀,铰,1
96,要和,着伉,1
97,说,讲,7
98,要告诉,个伉,1
99,一,讲,1
100,这里附近的,居宕边埏个,1
101,得可怜,显少,1
102,今天要留在家中吗,该日着缩屋里啊伐,1
103,告诉,伉,3
104,错在哪儿吗,狃宕赚爻罢,1
105,看吗,眙伐,1
106,什么,何乜,1
107,色的,个,1
108,她的,渠个,2
109,路时常常把,能届沃清清能逮,1
110,袋,兜,1
111,了,爻罢,2
112,帮,逮,1
113,灯,一开,1
114,色,灯,1
115,前,早,1
116,的房子被,个屋宕匄渠,1
117,毁了,爻罢,1
118,校女孩,堂奶儿娒,1
119,孩,儿娒,1
120,早上都,光沃,1
121,喝,呷,1
122,在这里,缩居宕,2
123,告诉了,伉,1
124,才知道这,新晓得居,1
125,有多,恁,1
126,母亲那时,阿妈许能届,1
127,和,伉,2
128,孩,个,1
129,太,忒,1
130,了容纳不下,爻坐否入,1
131,的,个个,1
132,不用怕他,覅吓渠,1
133,她在,渠缩,1
134,校,堂里,1
135,了很,爻,1
136,天下午,日后半日,1
137,时,点,1
138,收拾,物事理,1
139,东西了没有,罢啊未,1
140,看她,眙渠走,1
141,这里要小,居宕着留,1
142,扒手,贼,1
143,这,居张,1
144,子和我们家的,伉卬你屋宕个,1
145,样,色,1
146,说,话,1
147,在家中不,屋里个否,1
148,外的,讲,1
149,继续玩别,接下嬉覅,1
150,到,着,2
151,行了,用着,1
152,那是什么,许个何乜,1
153,去看,走眙,1
154,掉,爻,1
155,怎么去,訾那走,1
156,这房子,居个屋,1
157,多少,几厘,1
158,面,儿,1
159,别忘了把,覅悗记爻逮,1
160,还给,匄,1
161,谁的,何乜人个啊,1
162,别,覅,1
163,东西,物事,1
164,给他的父母,匄渠爸妈,1
165,在哪里,是狃宕啊,1
166,说得太,讲忒,1
167,点吗,厘伐,1
168,来说没有什么分,冇何乜区,1
169,过,否到,1
170,的时候常常去,能届清清能走,1
171,的,显危险,1
172,妈回,走,1
173,把房子,逮屋里,1
174,干净,光生,1
175,些,厘,1
176,掉了下来,遁落爻罢,1
177,我们把,卬你逮,1
178,色,个爻,1
179,如果不,当当能否,1
180,的话,踏踏脚车走,1
181,点,厘儿,1
182,得,起,1
183,都,上沃,1
184,语吗,话啊伐,1
185,棵,座,1
186,来把,逮,1
187,堵住了,塞爻罢,1
188,他把,渠逮,1
189,撕烂了,剫爻罢,1
190,的上,得走,1
191,吧不,里呐未,1
192,不行,未呐,1
193,必须,有厘句子着,1
194,不要忘,覅悗,1
195,火,爻,1
196,得太,忒,1
197,看到厌,眙,1
198,了,起爻罢,1
199,时,便若能届,1
200,任,乜,1
201,离这里很,伉居宕,1
202,没有看,冇眙,1
203,他穿,渠着,1
204,许,多显,1
205,时我不知道该怎么办,能妆,1
206,那个正在,恰是搭,1
207,的,个许个,1
208,都说,沃讲,1
209,看起来像,眙着伉,1
210,爸,相像,1
211,在,是得,1
212,安,一厘,1
213,在哪,是狃宕啊,1
214,怎么了啊,訾那爻,1
215,哪,若,1
216,您的,你个,1
217,不要玩钥,覅狡锁,1
218,见,会,1
219,们,厘,3
220,文吗,语啊伐,1
221,离这里很,伉居宕死人,1
222,的,个人用,1
223,语使用者,话,1
224,语,话,1
225,们怎么,厘訾那,1
226,是没,冇,1
227,他父母,渠个爸妈,1
228,他怀有过高的,渠,1
229,别倚着,覅靠,1
