,cmn,wuu,count
0,我们,阿拉,5
1,那又怎样,哏末哪能呢,1
2,不,侬勿,1
3,说废话,瞎讲,1
4,这个,搿只,1
5,很,老,3
6,别,勿要,3
7,了,记脱,1
8,天六时,朝点钟,1
9,接,寻,1
10,他,伊,6
11,什么时候,啥辰光,1
12,你,侬,22
13,不,勿,8
14,你,脱侬,1
15,把这块,拿搿只,1
16,表,錶,1
17,给你,拨侬,1
18,这些,搿眼是啥人个,1
19,这,搿,6
20,什么时候都,啥个辰光侪,1
21,的,个,22
22,都在,侪垃海,1
23,和你的父母谈谈,跟㑚爷娘谈清爽,1
24,参加的,呒没多少,1
25,并不多,垃海,1
26,我们的,阿拉个,1
27,那个,诶额,1
28,这些,搿眼,1
29,都,侪,1
30,相,传统,1
31,她,伊,5
32,什么都,啥侪,1
33,间一间地,家家,1
34,了,起,1
35,天为什么不,日啥个道理勿,1
36,他的,伊个,1
37,了一,脱,1
38,子就什么也,凳别样物事侪呒,1
39,才知道,侪晓得,1
40,你什么时候,侬啥个辰光,1
41,得,勿懂,1
42,这台,搿部照,1
43,吗,𠲎,7
44,叫你怎么,跟侬讲个搿能,1
45,你就怎么做,按照,1
46,她很,伊老欢,1
47,欢在,垃,1
48,上,浪向,1
49,那,哀,2
50,位处,拉垃,1
51,狭窄,邪气笑个,1
52,正在不断地遭,勿停个,1
53,在二,拉垃两,1
54,该,搿个,1
55,将会有,个,1
56,上,浪,1
57,习,会,1
58,己的,家个,1
59,房子,屋里向,1
60,是肮脏的,龌龊个闲,1
61,不了,个,1
62,她什么,伊像啥,1
63,也,体侪,1
64,赖,靠,1
65,在,了,1
66,的那,里个哀,1
67,谁,啥人,2
68,请你把,谢谢侬拿搿个,1
69,尾给我们说一遍,底讲拨阿拉听,1
70,楚你,爽侬,1
71,怎么,哪能,4
72,什么地方玩,白相,1
73,她把,伊拿,1
74,切成了,一劈,1
75,他们,伊拉,1
76,能说,数会得讲,1
77,吸,吃香,1
78,这里,搿搭,3
79,了,脱,1
80,他得,伊要,1
81,小时,钟头,1
82,能把,好挪,1
83,完,光,1
84,真,老,1
85,在,拉垃,1
86,很多很多的,交关交关,1
87,不过,但是,1
88,让,等,1
89,吧,𠲎,1
90,到了,到,1
91,石,纸,1
92,布,榔头,1
93,和你说,帮侬讲,1
94,见,会,2
95,了,个,1
96,一件,桩,1
97,告诉你,跟侬讲,1
98,得,了,2
99,天,朝,1
100,在家中吗,拉屋里向𠲎,1
101,在哪儿吗,拉阿里搭𠲎,1
102,什么,啥个,1
103,识她的,得伊个,1
104,时,个辰光,1
105,把,拿,4
106,在,拉,1
107,毁,脱,1
108,校,堂,2
109,孩,小人,2
110,上都,浪向侪,1
111,在这里,垃海搿搭,1
112,才知道这,侪晓得搿,1
113,我母亲那时,阿拉姆妈搿辰光,1
114,和,跟,2
115,的女孩,个小姑娘,1
116,欢,欢,1
117,给,拨,2
118,容纳不下,装勿牢,1
119,他不,伊勿,1
120,你的,侬个,1
121,她在,伊垃海,1
122,很多,交关,1
123,星期,礼拜,1
124,午,半天,1
125,时,点钟,1
126,拾,作,1
127,东西,物事,2
128,没有,𠲎,1
129,看她,喏伊,1
130,小,当,1
131,这桌,搿台,1
132,和我们家的,跟阿拉屋里向个,1
133,你把你的,侬拿侬个,1
134,码,头,1
135,说,讲,3
136,在家中不,拉屋里向勿,1
137,外的,来个,1
138,玩别,白相勿要,1
139,行,可以,1
140,那,哀个,1
141,什么,啥,1
142,掉,脱,1
143,面,向,1
144,了把,记脱拿,1
145,那,箇,1
146,笔记本,簿子,1
147,谁的,啥人个,1
148,说,讲言,1
149,他很,伊老,1
150,给他的父母,拨伊个爷娘,1
151,在哪,垃海阿,1
152,你说得太,侬讲了忒,1
153,点吗,眼𠲎,1
154,说,讲呒,1
155,有什么,啥,1
156,过,到,1
157,在这里碰到你,得垃搿耷踫着侬个,1
158,有,呒,2
159,的时候,个辰光,1
160,在,垃海,2
161,些,眼,1
162,树上掉,书高头落,1
163,我们把,阿拉挪,1
164,不下,勿落,1
165,的,个言,1
166,单,脚踏,1
167,点,眼,1
168,你,看侬,1
169,满,来整个,1
170,都,巴侪,1
171,你会说义,侬意,1
172,语吗,文讲得来𠲎,2
173,把,了拿条,1
174,堵住,砬断,1
175,他把,伊拿本,1
176,撕烂,裁脱,1
177,亲爱的,老公,1
178,吧不,啦勿来自啊我,1
179,不行我在,要拉垃,1
180,上还必须,浪,1
181,译一些,翻几句,1
182,你会说,侬,1
183,走开,滚蛋,1
184,到厌烦,怨煞了,1
185,随时问任何,有,1
186,都可以,就问好唻,1
187,雪梨,悉尼,1
188,这里很,箇墶老,2
189,许,老,1
190,不知道,当辰光勿晓得,1
191,她的,伊个,1
192,语,国闲话,1
193,正在,垃海,1
194,都说,人侪讲,1
195,我,阿拉,1
196,每个,上,1
197,安,一点好𠲎,1
198,在哪,垃海阿里搭,1
199,你到底怎么了啊,侬哪恁勒啦,1
200,哪本,阿里簿,1
201,您的,侬额,1
202,不要玩,孛相勿来个,1
203,这,个,1
204,你们好吗,侬哪能,1
205,说,得讲,1
206,汉语,中国言话,1
207,上,哴向,2
208,的,个人讲,1
209,语使用者,言话,1
210,语,言话,1
211,你们,侬,1
212,你们怎么就是没,侬为啥勿,1
213,他父母,伊拉爷娘,1
214,他怀有,伊期望,1
215,别倚着,覅隑了,1
