,wen,yue,count
0,卬你,我哋,3
1,试眙,吓吖,1
2,那就訾那能爻,嗯咁呢,1
3,覅讲废话,唔好喺度乱噏廿四,1
4,居个,呢粒,1
5,显酸,好,1
6,覅悗,唔好唔,2
7,爻明朝,得听日,1
8,钟走来接,嚟搵,1
9,相信渠是个,谂佢系,1
10,若能届走,几时出发,1
11,覅悗,都唔会忘,1
12,打算逮居个手,谂住送呢只,1
13,送匄,俾,1
14,居厘,啲,1
15,是何乜人,边,1
16,居,呢,3
17,定否是若能届沃可以,则唔系几时都啱,1
18,个,㗎,3
19,沃是得,都喺度,1
20,伉,同,2
21,谈一谈,倾吓,1
22,参加个,唔系好多,1
23,并否多,有嚟,1
24,厘个,哋嘅,1
25,是许,系,1
26,是,系,7
27,个,嘅,7
28,汤姆走,阿Tom返咗,1
29,居厘,呢啲古,1
30,沃是,都系,1
31,下个,落嚟嘅,1
32,渠,佢,5
33,何乜沃好眙,咩都咁靓,1
34,能烧起,噉着咗火,1
35,宕,啲,1
36,渠昨夜妆嚷冇走来,佢寻日做咩唔嚟嘅,1
37,渠个,佢,1
38,里,房,1
39,爻一,咗,1
40,桌,枱,1
41,何乜沃冇,咩都无喇,1
42,去,咗,1
43,新晓得,先知,1
44,渠走狃宕罢,佢失咗踪,1
45,若能届走来,几时返嚟呀,1
46,晓得,识唔识,1
47,居台,呢部,1
48,啊伐,呀,1
49,訾那,点,2
50,渠很喜欢缩,佢好锺意喺,1
51,上眙,度睇,1
52,许,嗰,2
53,位于,喺,1
54,边埏,附近,1
55,个,窄,1
56,正是搭,而家,1
57,停能遭受,断咁俾,1
58,是,喺,1
59,居,嗰个,1
60,缩,喺,2
61,上,度,1
62,个,紧,1
63,习,吓,1
64,你,自,1
65,个脾气,嘅情绪,1
66,宕,狗窦咁,1
67,七八,我都顶得顺但系污,1
68,也冇问题但是鏖糟个,嘅,1
69,lei否落,就接受唔到,1
70,渠何乜,佢咩,1
71,干沃,都,1
72,渠,晒个,1
73,居,喺,1
74,里个许,头嗰,1
75,是何乜人啊,嚟㗎,1
76,请,唔该,3
77,逮,将个,1
78,从,由,1
79,一遍,晒俾我地听,1
80,伐,呀,1
81,走,可唔,1
82,着考虑灵,要谂,1
83,狃能色个,啲点嘅,1
84,己,楚,1
85,打算走狃宕嬉,谂住去边度玩呀,1
86,渠逮,佢将个,1
87,成,开咗,1
88,对半,分,1
89,居厘,呢啲,1
90,是渠厘,系佢哋,1
91,起个,嘅,1
92,大部分会,多数识,1
93,话,语言,1
94,居个,呢间,2
95,间是禁止吃香,唔俾食,1
96,走,行,1
97,居宕哩,呢度,1
98,会,到好犀利,1
99,了会,咗识,1
100,还会,仲识,1
101,吉,结,1
102,钢,添,1
103,渠会,佢识唔识,1
104,啊伐,㗎,1
105,想他着,谂佢要用,1
106,个小时工作新会,粒钟先至,1
107,好,得晒啲嘢,1
108,显,好,1
109,个,句,1
110,可惜,但系,1
111,别样事个着,第二啲嘢要,1
112,上,系好,1
113,还,好,1
114,卬你还是匄,我哋都系等,1
115,决定,话事啦,1
116,也,都,1
117,厘了,咗啲,1
118,罢,就,1
119,铰,包,1
120,石头布,𢱕,1
121,着伉,要同,1
122,再见爻,拜拜喇,1
123,对爻,话时话,1
124,件事个伉,啲嘢要同,1
125,居宕边埏个,呢度附近啲,1
126,显少,到阿妈都唔认得,1
127,汤姆该,阿Tom今,1
128,着缩,使唔使留喺,1
129,里啊伐,企呀,1
130,伉,话,2
131,讲,知,1
132,狃宕赚爻罢,错喺边呀,1
133,电影,套戏,1
134,眙伐,唔好睇呀,1
135,何乜水,有咩生,1
136,个,色㗎,1
137,是訾那认,点,1
138,渠个,佢㗎,1
139,渠走能届沃清清能逮一,佢行路嗰阵成日插,1
140,插,落个,1
141,兜里,袋度,1
142,暗爻罢麻烦你逮,黑啰喎唔该帮,1
143,开一开,佢吖,1
144,早,前,1
145,个,嗰间,1
146,宕匄渠,俾人,1
147,爻罢,咗喇,1
148,堂奶儿娒比,校女仔多过,1
149,儿娒多,仔,1
150,渠每日天光沃,佢朝朝早都,1
151,呷,饮,1
152,缩居宕,喺呢度,1
153,三十,咗卅,1
154,爻罢,喇,1
155,伉,话咗俾,1
156,讲爻以,听之,1
157,新晓得居,先知呢,1
158,恁重,有几咁紧,1
159,许能届比,嗰阵仲后生过,1
160,喜欢,锺意,1
161,电动个,机嘅,1
162,个,仔,1
163,匄我一厘,俾啲,1
164,啊伐,我呀,1
165,居,呢间,1
166,间忒小爻坐否入,细得济喇装唔落,1
167,个个,嘅,1
168,覅吓渠不,唔使惊佢唔,1
169,渠缩,佢喺,1
170,堂里,校,1
171,爻,咗好,1
172,后半日,晏昼,1
173,走来眙,嚟探,1
174,物事理,执,1
175,罢啊,晒啲嘢,1
176,眙渠走来罢,睇吓佢嚟咗喇,1
177,逮手,整好咗只,1
178,居宕着留心贼,呢度要因住俾人挞嘢,1
179,桌伉卬你,枱同我哋,1
180,宕个,企嗰张,1
181,色,样,1
182,逮,话,1
183,字伉,同,1
184,伉,俾,1
185,讲,听吖,1
186,话,讲,1
187,里个否,企唔,1
188,讲,喺,1
189,走,街㗎,1
190,接下嬉覅吵着别,继续玩唔好嘈到,1
191,用着,得喇,1
192,许个何乜,咩,1
193,音啊,嚟,1
194,走眙,去睇,1
195,逮,掹咗只,1
196,拔爻,佢,1
197,讲一讲,听,1
198,訾那走,点去吖,1
199,里,入面,1
200,厘,多,1
201,儿,呀,1
202,爻逮,得还返本,1
203,匄,俾,1
204,里还,喎,1
205,笔记本是何乜人,簿系边,1
206,啊,㗎,1
207,覅边吃物事边,唔好一路食嘢一路,1
208,话,嘢,1
209,渠很,佢好,1
210,匄渠爸妈,俾佢阿爸阿妈,1
211,个,本,2
212,是狃宕啊,喺边,2
213,忒,得太,1
214,爻,喇,2
215,否懂,唔明,1
216,一厘伐,少少呀,1
217,也,又,2
218,否相,唔,1
219,冇何乜区,嚟讲无咩分,1
220,做,发,1
221,也想否,都无谂过会喺呢度撞,1
222,年轻能届清清能走,后生嗰阵成日去,1
223,开摩托,揸电单,1
224,否,唔,1
225,显危险,㗎,1
226,走来,返嚟,1
227,逮,执干净间,1
228,里打扫光生,喺阿,1
229,厘,啲,1
230,缩,喺棵,1
231,上遁,度跌咗,1
232,爻罢,嚟,1
233,卬你逮,我哋将道,1
234,涂成,油咗做,1
235,个爻,色,1
236,当当能否下,如果唔落,1
237,踏踏脚,去踩单,1
238,走去,嘅话,1
239,厘儿,啲,1
240,司,士,1
241,林,灵,1
242,眙,睇吓,1
243,吃起满嘴上沃是,食到成个口都系喇,1
244,会,识唔识,3
245,义,意,1
246,话啊伐,文㗎,1
247,座,棵,1
248,倒下逮,冧咗落嚟塞住咗条,1
249,渠逮,佢撕烂咗本,1
250,亲爱,老公上床啦未,1
251,走床里呐未还未呐,住呀,1
252,缩,要喺,1
253,上还有厘,翻译多几句,1
254,着翻译,先呀,1
255,语啊伐,文㗎,2
256,渠是,佢系,1
257,永远覅悗,千祈唔好唔,1
258,逮,得熄,1
259,走,死,1
260,开忒,揸得太,1
261,眙,睇,1
262,眙烦起爻罢,睇到厌喇,1
263,若能届,有问题,1
264,伉居宕,离呢度好,1
265,显远,㗎喎,1
266,眙,见,1
267,多显,好,1
268,许能届否晓得訾那能妆,嗰阵时唔知点做先好,1
269,滚远哩,躝开啦,1
270,渠个,佢嘅,1
271,语,文,1
272,许,人系边,1
273,男个是乜人啊,嚟㗎,1
274,恰是搭,紧,1
275,每,啲人,1
276,人沃讲,个都话,1
277,眙着伉,同,1
278,爸相像,老豆好似样,1
279,是得浇,喺度帮紧啲,1
280,一厘,D啦,1
281,否是,唔系,1
282,法,术,1
283,到底訾那爻,搞咩呀,1
284,若,边,1
285,覅狡,梦玩条,1
286,是,生定,1
287,个还是活个,架,1
288,再会,拜拜,1
289,厘好啊伐,点呀,1
290,谢谢,唔该,1
291,厘,哋,1
292,习汉语,中文,1
293,悉尼伉居宕死人,雪梨离呢度好,1
294,大利亚,洲,1
295,用,讲,1
296,话,文,2
297,厘比,高过,1
298,好啊伐,点呀,1
299,厘訾那就冇相,点解唔,1
300,呢,呀,1
301,渠个,佢阿,1
302,忒,过,1
303,覅靠,唔好挨埋埲,1
304,上赖,度,1
