,wuu,wen,count
0,阿拉,卬你,4
1,哏末哪,那就訾那,1
2,呢,爻,1
3,侬勿要瞎,覅,1
4,搿只,居个,1
5,个,显酸,1
6,勿要忘,覅悗,3
7,脱,爻,2
8,寻,接,1
9,伊,渠,11
10,啥辰光出发,若能届走,1
11,侬,啊你,1
12,勿会得忘,覅悗,1
13,脱侬,你,1
14,拿搿只,逮居个,1
15,錶,表,1
16,拨侬,匄你,1
17,搿眼,居厘书,1
18,啥,何乜,2
19,搿,居,4
20,则勿,定否,1
21,啥个辰光侪适,若能届沃可以,1
22,天侪垃海,沃是得,1
23,侬,你,15
24,跟㑚爷娘,伉你爸妈,1
25,清爽,一谈,1
26,呒没,参加个人并否,1
27,阿拉,我厘,2
28,诶额,许个,1
29,回到,走,1
30,头了,转哦罢,1
31,搿眼古,居厘,1
32,侪,沃,1
33,伊穿啥侪,渠著何乜沃,1
34,看,眙,3
35,房子,屋宕,1
36,家家着,间一间能烧,1
37,日啥个道理勿,夜妆嚷冇走,1
38,脱,爻一,1
39,凳别样物事侪呒没,就何乜沃冇,1
40,房,里,1
41,了,去,1
42,天,日,2
43,侪,新,2
44,伊失踪了,渠走狃宕罢,1
45,侬啥个辰光回,你若能届走,1
46,侬懂勿懂,你晓得,1
47,搿部照,居台,1
48,跟侬讲个搿能,叫你訾那,1
49,按照,你就訾那做,1
50,伊老,渠很喜,1
51,喜垃,缩,1
52,浪向看,上眙,1
53,哀,许,3
54,拉垃,位于,1
55,附近,边埏,1
56,邪气笑,狭,1
57,勿,正是搭不,1
58,个,能遭,1
59,拉垃两,是二,1
60,搿个,居,1
61,个,会有,1
62,将会得从,缩,1
63,浪,上,2
64,会,习,1
65,自家,你己,1
66,情绪,脾气,1
67,里向,宕,2
68,呒没,冇,1
69,是勿能够接受个,lei否落,1
70,但龌龊个闲,但是鏖糟,1
71,伊像啥,渠何乜,1
72,体侪依,干沃,1
73,个,渠,1
74,了,居,1
75,是啥人,啊,2
76,谢谢侬拿搿个,请你逮,1
77,底,尾匄卬你,1
78,拨阿拉听,一遍,1
79,要,着,1
80,爽侬,你己,1
81,哪,狃,1
82,样,色,2
83,到啊里耷去白相呢,走狃宕嬉,1
84,伊拿,渠逮,1
85,一劈,切成,1
86,搿些,居厘,1
87,伊拉,渠厘,1
88,多数,部分,1
89,语言,话,1
