,cmn,wen,count
1,的,个,32
2,这,居,16
3,他,渠,12
4,吗,伐,12
5,把,逮,11
6,说,讲,11
7,看,眙,10
8,了,罢,10
9,她,渠,10
10,了,爻,9
11,不,否,9
12,我,卬,6
13,们,你,6
14,时,届,6
15,们,厘,6
16,怎,訾,6
17,么,那,6
18,在,缩,6
19,很,显,5
20,么,能,5
21,那,许,5
22,都,沃,5
23,什,何,5
24,么,乜,5
25,要,着,5
26,不,覅,4
27,些,厘,4
28,告,伉,4
29,里,宕,4
30,什,若,3
31,给,匄,3
32,房,屋,3
33,没,冇,3
34,去,走,3
35,语,话,3
36,这,宕,3
37,和,伉,3
38,诉,我,3
39,我,讲,3
40,别,悗,2
41,忘,记,2
42,候,走,2
43,在,得,2
44,穿,着,2
45,子,宕,2
46,地,能,2
47,也,沃,2
48,天,日,2
49,才,新,2
50,知,晓,2
51,道,得,2
52,附,边,2
53,近,埏,2
54,从,缩,2
55,人,个,2
56,谁,啊,2
57,样,色,2
58,懂,会,2
59,在,宕,2
60,时,清,2
61,常,能,2
62,孩,娒,2
63,母,妈,2
64,那,能,2
65,点,厘,2
66,别,覅,2
67,到,着,2
68,得,忒,2
69,不,未,2
70,离,居,2
71,又,那,1
72,怎,能,1
73,样,爻,1
74,要,讲,1
75,天,朝,1
76,时,走,1
77,会,悗,1
78,块,个,1
79,谁,人,1
80,则,定,1
81,候,沃,1
82,都,可,1
83,适,以,1
84,天,沃,1
85,都,是,1
86,先,伉,1
87,和,你,1
88,你,爸,1
89,的,妈,1
90,父,谈,1
91,母,一,1
92,谈,先,1
93,并,何,1
94,不,乜,1
95,回,走,1
96,古,老,1
97,老,个,1
98,来,个,1
99,着,烧,1
100,了,起,1
101,天,夜,1
102,为,妆,1
103,什,嚷,1
104,么,冇,1
105,不,走,1
106,房,间,1
107,间,里,1
108,了,去,1
109,她,狃,1
110,失,宕,1
111,踪,爻,1
112,懂,晓,1
113,处,于,1
114,窄,个,1
115,在,搭,1
116,断,停,1
117,在,是,1
118,该,居,1
119,习,起,1
120,自,你,1
121,情,脾,1
122,绪,气,1
123,肮,鏖,1
124,脏,糟,1
125,接,□,1
126,受,否,1
127,不,落,1
128,依,靠,1
129,赖,渠,1
130,在,居,1
131,楚,你,1
132,你,己,1
133,怎,狃,1
134,什,狃,1
135,么,宕,1
136,地,嬉,1
137,了,两,1
138,两,对,1
139,多,分,1
140,能,会,1
141,这,个,1
142,吸,香,1
143,里,哩,1
144,很,会,1
145,得,着,1
146,才,工,1
147,能,作,1
148,把,新,1
149,工,会,1
150,完,好,1
151, ,上,1
152,不,可,1
153,过,惜,1
154,的,样,1
155,让,匄,1
156,了, ,1
157,了,厘,1
158,点,爻,1
159,要,个,1
160,诉,你,1
161,你,讲,1
162,得,显,1
163,可,少,1
164,今,该,1
165,留,缩,1
166,在,屋,1
167,家,里,1
168,中,啊,1
169,错,狃,1
170,哪,赚,1
171,儿,爻,1
172,吗,罢,1
173,色,个,1
174,路,沃,1
175,常,清,1
176,袋,兜,1
177,帮,逮,1
178,灯,开,1
