,cmn,yue,count
0,们,哋,7
1,试,吓,1
2,看,吖,1
3,那,嗯,1
4,又,咁,1
5,怎,呢,1
6,不,度,1
7,要,乱,1
8,说,噏,1
9,废,廿,1
10,话,四,1
11,这,呢,17
12,个,粒,2
13,很,好,8
14,别,唔,2
15,忘,记,1
16,了,得,1
17,明,听,1
18,天,日,5
19,时,点,2
20,来,嚟,7
21,接,搵,1
22,相,谂,1
23,信,佢,1
24,他,系,1
25,什,几,3
26,不,唔,12
27,打,谂,2
28,算,住,2
29,把,送,1
30,块,只,1
31,送,俾,1
32,这,啲,1
33,是,边,1
34,谁,个,1
35,的,㗎,8
36,是,系,16
37,适,啱,1
38,在,度,1
39,先,你,1
40,和,阿,1
41,你,爸,1
42,的,阿,1
43,父,妈,1
44,母,倾,1
45,谈,吓,1
46,谈,先,1
47,参,系,1
48,加,好,1
49,的,多,1
50,并,有,1
51,不,嚟,2
52,的,嘅,14
53,汤, ,1
54,姆,返,1
55,回,咗,1
56,些,啲,3
57,相,噉,1
58,下,落,4
59,她,佢,9
60,穿,着,2
61,什,咩,4
62,好,咁,1
63,看,靓,1
64,房,啲,1
65,子,屋,2
66,地,噉,1
67,了,咗,10
68,昨,寻,1
69,为,做,1
70,么,唔,2
71,来,嘅,1
72,他,佢,12
73,的,间,2
74,桌,枱,1
75,么,都,1
76,也,无,1
77,没,喇,1
78,才,先,2
79,候,返,1
80,回,嚟,1
81,来,呀,1
82,懂,唔,1
83,得,识,1
84,台,部,1
85,吗,呀,7
86,怎,点,3
87,喜,锺,2
88,欢,意,2
89,在,喺,13
90,上,度,3
91,看,睇,5
92,那,嗰,4
93,位,喺,1
94,正,而,1
95,在,家,1
96,地,咁,1
97,遭,俾,1
98,该,个,1
99,从,喺,1
100,习,吓,1
101,房,屋,2
102,子,狗,1
103,乱,窦,1
104,七,咁,1
105,八,乱,1
106,糟,我,1
107,也,都,3
108,没,顶,1
109,问,得,1
110,题,顺,1
111,肮,污,1
112,脏,糟,1
113,了,到,1
114,么,事,1
115,事,都,1
116,也,靠,1
117,依,晒,1
118,赖,个,1
119,的,头,1
120,是,嚟,2
121,谁,㗎,3
122,请,该,3
123,把,个,2
124,从,由,1
125,给,讲,1
126,我,晒,1
127,们,俾,1
128,说,我,1
129,一,地,1
130,遍,听,1
131,考,谂,1
132,怎,啲,1
133,么,点,1
134,样,嘅,1
135,什,边,1
136,么,度,1
137,呢,呀,2
138,她,将,1
139,成,开,1
140,半,分,1
141,大,多,1
142,多,数,1
143,能,识,1
144,说,讲,11
145,是,房,1
146,禁,唔,1
147,止,俾,1
148,吸,食,1
149,走,行,2
150,里,度,8
151,很,犀,1
152,痛,利,1
153,懂,识,2
154,还,仲,1
155,吉,结,1
156,她,唔,1
157,会,识,4
158,吗,㗎,4
159,想,谂,1
160,得,要,1
161,花,用,1
162,小,钟,1
163,时,先,1
164,才,至,1
165,能,做,1
166,把,得,1
167,工,晒,1
168,作,啲,1
169,做,嘢,1
170,的,句,1
171,不,但,1
172,过,系,1
173,别,二,1
174,的,啲,2
175,事,嘢,1
176,还,都,1
177,让,等,1
178,决,话,1
179,定,事,1
180,吧,啦,2
181,点,啲,2
182,刀,𢱕,1
183,和,同,3
184,再,拜,2
185,见,拜,2
186,了,喇,9
187,对,时,1
188,了,话,1
189,一,啲,1
190,件,嘢,1
191,告,同,1
192,诉,你,1
193,你,讲,1
194,得,唔,1
195,可,认,1
196,怜,得,1
197,汤,m,1
198,姆, ,1
199,天,唔,1
200,要,使,1
201,家,屋,2
202,中,企,2
203,告,话,3
204,诉,我,2
205,我,知,1
206,哪,边,4
207,儿,呀,1
208,电,套,1
