,wen,yue,count
0,卬,我,5
1,你,哋,5
2,试,吓,1
3,眙,吖,1
4,那,嗯,1
5,就,咁,1
6,訾,呢,1
7,覅,乱,1
8,讲,噏,1
9,废,廿,1
10,话,四,1
11,居,呢,12
12,个,粒,2
13,酸,好,1
14,覅,好,3
15,悗,唔,3
16,爻,得,1
17,明,听,1
18,朝,日,1
19,钟,嚟,1
20,走,搵,1
21,来,我,1
22,接,喎,1
23,相,谂,1
24,信,佢,1
25,渠,系,1
26,若,几,3
27,能,时,3
28,届,出,1
29,走,发,1
30,覅,会,1
31,悗,忘,1
32,打,谂,1
33,算,住,1
34,逮,送,1
35,个,只,1
36,送,俾,1
37,居,啲,2
38,是,边,1
39,何,个,1
40,乜,㗎,2
41,定,则,1
42,否,唔,6
43,是,系,16
44,届,都,1
45,沃,啱,1
46,个,㗎,5
47,沃,都,3
48,是,喺,4
49,得,度,1
50,伉,同,5
51,谈,倾,1
52,一,吓,1
53,参,系,1
54,加,好,1
55,个,多,1
56,否,有,1
57,何,嚟,1
58,厘,哋,3
59,个,嘅,13
60,汤,T,1
61,姆,o,1
62,走,m,1
63,乡, ,1
64,下,返,1
65,转,咗,1
66,哦,乡,1
67,罢,下,1
68,厘,古,1
69,下,嚟,1
70,渠,佢,22
71,何,咩,3
72,乜,都,2
73,沃,咁,1
74,好,靓,1
75,能,着,1
76,烧,咗,1
77,起,火,1
78,昨,寻,1
79,夜,日,1
80,妆,做,1
81,嚷,咩,1
82,冇,唔,1
83,走,嚟,4
84,来,嘅,1
85,里,房,1
86,爻,咗,3
87,桌,枱,2
88,沃,无,1
89,冇,喇,1
90,去,咗,1
91,新,先,2
92,晓,知,2
93,走,失,1
94,狃,咗,1
95,宕,踪,1
96,届,返,1
97,来,呀,1
98,晓,唔,2
99,得,识,1
100,台,部,1
101,啊,呀,3
102,訾,点,3
103,很,好,2
104,喜,锺,2
105,欢,意,2
106,缩,喺,6
107,上,度,3
108,眙,睇,5
109,许,嗰,4
110,位,喺,1
111,边,附,2
112,埏,近,2
113,个,窄,1
114,正,而,1
115,是,家,1
116,停,断,1
117,能,咁,1
118,遭,俾,1
119,居,个,1
120,起,吓,1
121,你,自,1
122,脾,情,1
123,气,绪,1
124,宕,狗,1
125,乱,窦,1
126,七,咁,1
127,八,乱,1
128,糟,我,1
129,也,都,3
130,冇,顶,1
131,问,得,1
132,题,顺,1
133,鏖,污,1
134,□,受,1
135,落,到,1
136,干,都,1
137,沃,靠,1
138,靠,晒,1
139,渠,个,1
140,居,喺,1
141,里,头,1
142,个,嗰,1
143,个,人,1
144,何,边,1
145,乜,个,1
146,人,嚟,1
147,啊,㗎,6
148,请,该,3
149,逮,个,2
150,从,由,1
151,匄,讲,1
152,卬,晒,1
153,你,俾,1
154,讲,我,1
155,一,地,1
156,遍,听,1
157,伐,呀,4
158,着,要,3
159,考,谂,1
160,虑,清,1
161,灵,楚,1
162,狃,啲,1
163,能,点,1
164,色,嘅,1
165,打,住,1
166,算,去,1
167,走,边,1
168,狃,度,1
169,宕,玩,1
170,嬉,呀,1
171,渠,将,1
172,成,咗,1
173,对,分,1
174,厘,啲,3
175,起,嘅,1
176,大,多,1
177,部,数,1
178,分,识,1
179,话,言,1
180,个,间,3
181,间,唔,1
182,是,俾,1
183,禁,食,1
184,走,行,2
185,居,就,1
186,宕,痛,1
