,wuu,wen,count
0,阿,卬,6
1,拉,你,6
2,哏,就,1
3,末,訾,1
4,哪,那,2
5,呢,爻,1
6,侬,覅,1
7,勿,讲,1
8,要,废,1
9,瞎,话,1
10,搿,居,14
11,只,个,2
12,老,显,4
13,勿,覅,5
14,要,悗,2
15,脱,爻,5
16,6,六,1
17,寻,接,1
18,伊,渠,21
19,啥,若,3
20,辰,能,3
21,光,届,3
22,出,走,1
23,侬,你,29
24,会,悗,1
25,脱,你,1
26,拿,逮,9
27,拨,匄,2
28,搿,厘,1
29,眼,书,1
30,啥,乜,7
31,则,定,1
32,勿,否,9
33,个,能,2
34,辰,届,2
35,光,沃,1
36,侪,可,1
37,适,以,1
38,天,沃,1
39,侪,是,1
40,垃,得,1
41,跟,伉,4
42,㑚,你,1
43,爷,爸,2
44,娘,妈,2
45,清,一,1
46,爽,谈,1
47,呒,加,1
48,没,个,1
49,多,人,1
50,少,否,1
51,人,何,1
52,垃,乜,1
53,海,多,1
54,阿,我,2
55,拉,厘,3
56,诶,许,1
57,额,个,2
58,回,走,1
59,头,哦,1
60,了,罢,10
61,眼,厘,3
62,侪,沃,5
63,伊,着,1
64,穿,何,1
65,看,眙,8
66,房,屋,2
67,子,宕,1
68,家,间,1
69,家,一,1
70,着,间,1
71,起,能,1
72,火,烧,1
73,来,起,1
74,日,夜,1
75,啥,妆,1
76,个,嚷,1
77,道,冇,1
78,理,走,1
79,房,间,1
80,间,里,1
81,脱,一,1
82,凳,就,1
83,别,何,1
84,样,乜,1
85,物,沃,1
86,事,冇,1
87,了,去,1
88,天,日,3
89,侪,新,2
90,伊,狃,1
91,失,宕,1
92,踪,爻,1
93,光,走,1
94,懂,晓,1
95,勿,得,1
96,部,台,1
97,按,叫,1
98,照,你,1
99,我,訾,1
100,跟,那,1
101,侬,做,1
102,讲,你,1
103,个,就,1
104,搿,訾,1
105,能,那,3
106,伊,很,1
107,老,喜,1
108,喜,缩,1
109,浪,上,2
110,向,眙,1
111,哀,许,3
112,拉,位,1
113,垃,于,1
114,附,边,2
115,近,埏,2
116,邪,狭,1
117,勿,不,2
118,个,遭,1
119,拉,是,1
120,垃,二,1
121,个,有,1
122,将,缩,1
123,会,起,1
124,自,你,1
125,家,己,1
126,情,脾,1
127,绪,气,1
128,里,宕,3
129,呒,冇,2
130,个,但,1
131,但,是,1
132,龌,鏖,1
133,龊,糟,1
134,是,□,1
135,能,落,1
136,像,何,1
137,体,干,1
138,依,靠,1
139,靠,渠,1
140,了,居,1
141,人,个,3
142,谢,请,1
143,谢,你,1
144,侬,逮,1
145,底,匄,1
146,讲,卬,1
147,拨,你,1
148,阿,讲,1
149,拉,一,1
150,听,遍,1
151,要,着,6
152,爽,你,1
153,侬,己,1
154,哪,狃,1
155,样,色,2
156,到,走,1
157,啊,狃,1
158,耷,嬉,1
159,一,切,1
160,劈,成,1
161,些,厘,1
162,多,部,1
163,数,分,1
164,语,话,1
165,搿,个,1
166,搿,宕,3
167,搭,哩,1
168,老,会,1
169,脱,了,1
170,懂,会,2
171,伊,他,1
172,钟,小,1
173,头,时,1
174,才,工,1
175,好,作,1
176,挪,新,1
177,工,会,1
178,光,好,1
179,老,真,1
180,拉,缩,1
181, ,上,2
182,交,多,3
183,关,显,1
184,关,个,2
185,但,可,1
186,是,惜,1
187,个,样,1
188,体,个,2
189,等,匄,1
190,快, ,1
191,点,爻,1
192,榔,铰,1
193,刀,石,1
194,纸,头,1
195,头,布,1
196,帮,伉,1
197,会,见,1
198,了,爻,4
199,个,爻,1
200,桩,件,1
201,要,伉,1
202,跟,你,1
203,搭,宕,2
204,了,显,2
205,可,少,1
206,今,该,1
207,朝,日,1
208,留,缩,1
209,向,啊,1
210,告,伉,3
211,诉,我,3
212,我,讲,3
213,错,狃,1
214,拉,宕,1
215,阿,赚,1
216,里,爻,1
217,搭,罢,1
218,啥,何,1
219,个,乜,1
220,哪,訾,2
221,得,识,1
222,路,能,1
223,个,届,2
224,辰,沃,1
225,光,清,2
226,常,清,1
227,常,能,2
228,袋,兜,1
229,帮,逮,1
230,灯,开,1
231,前,早,1
232,房,宕,1
233,子,匄,1
234,被,渠,1
235,女,奶,1
236,小,儿,2
237,人,娒,2
238,早,光,1
239,浪,沃,1
240,喝,呷,1
241,垃,缩,2
242,海,居,1
243,了,讲,1
244,我,爻,1
245,有,恁,1
246,搿,许,1
247,小,女,1
248,姑,个,1
249,点,厘,2
250,太,忒,1
251,了, ,1
252,装,坐,1
253,牢,入,1
254,用,吓,1
255,怕, ,1
256,礼,星,1
257,拜,期,1
258,下,后,1
259,钟,会,1
260,会,走,1
261,侬,物,1
262,收,事,1
