,wuu,yue,count
0,阿,我,8
1,拉,哋,8
2,试,吖,1
3,哏,嗯,1
4,末,咁,1
5,侬,度,1
6,勿,乱,1
7,要,噏,1
8,瞎,廿,1
9,讲,四,1
10,搿,呢,13
11,只,粒,1
12,老,好,8
13,勿,唔,16
14,要,好,3
15,忘,唔,3
16,脱,得,1
17,明,听,1
18,朝,日,1
19,6,六,1
20,钟,嚟,1
21,来,搵,1
22,寻,我,1
23,我,喎,1
24,相,谂,1
25,信,佢,1
26,伊,系,1
27,啥,几,3
28,辰,时,1
29,侬,你,32
30,脱,你,1
31,打,谂,2
32,算,住,2
33,拿,送,1
34,送,俾,1
35,拨,你,1
36,搿,啲,1
37,眼,书,1
38,是,边,2
39,书,㗎,1
40,是,系,15
41,个,时,2
42,辰,都,1
43,光,啱,1
44,个,㗎,5
45,天,都,1
46,侪,喺,1
47,垃,度,1
48,海,变,1
49,变,紧,1
50,跟,你,1
51,㑚,阿,1
52,爷,爸,1
53,娘,阿,1
54,谈,妈,1
55,清,倾,1
56,爽,吓,1
57,呒,系,1
58,没,好,1
59,垃,有,1
60,海,嚟,1
61,个,嘅,14
62,诶,个,1
63,汤,m,2
64,姆, ,2
65,回,返,1
66,到,咗,1
67,眼,啲,3
68,侪,都,3
69,传,噉,1
70,下,落,2
71,来,嚟,4
72,伊,佢,19
73,穿,着,2
74,啥,咩,1
75,好,咁,1
76,看,靓,1
77,房,啲,1
78,子,屋,2
79,家,间,1
80,家,噉,1
81,起,咗,1
82,昨,寻,1
83,啥,做,1
84,个,咩,2
85,道,唔,1
86,理,嚟,1
87,勿,嘅,1
88,个,间,2
89,脱,咗,3
90,桌,枱,1
91,凳,就,1
92,别,咩,1
93,样,都,1
94,物,无,1
95,事,喇,1
96,了,咗,4
97,天,日,2
98,侪,先,2
99,晓,知,3
100,辰,返,1
101,光,嚟,1
102,回,呀,1
103,懂,识,4
104,伐,呀,7
105,按,我,1
106,照,叫,1
107,我,你,1
108,跟,点,1
109,侬,做,1
110,讲,你,1
111,个,就,1
112,搿,点,1
113,欢,锺,2
114,喜,意,2
115,垃,喺,6
116,浪,度,2
117,向,睇,1
118,哀,嗰,1
119,拉,喺,7
120,邪,狭,1
121,气,窄,1
122,勿,家,1
123,停,不,1
124,个,断,1
125,受,咁,1
126,到,俾,1
127,垃,二,1
128,搿,嗰,1
129,个,有,1
130,将,喺,1
131,会,吓,1
132,家,己,1
133,里,窦,1
134,向,咁,1
135,七,我,1
136,八,都,1
137,糟,顶,1
138,也,得,1
139,呒,顺,1
140,龌,系,1
141,龊,污,1
142,个,糟,1
143,闲,嘅,1
144,是,就,1
145,个,到,1
146,像,咩,1
147,体,都,1
148,侪,靠,1
149,依,晒,1
150,靠,个,1
151,了,喺,1
152,里,头,1
153,个,嗰,3
154,是,个,2
155,啥,嚟,2
156,人,㗎,3
157,谢,唔,2
158,谢,该,2
159,拿,将,1
160,从,由,1
161,底,尾,1
162,拨,俾,2
163,拉,地,1
164,考,谂,1
165,爽,楚,1
166,哪,啲,1
167,能,点,1
168,样,嘅,1
169,到,去,1
170,啊,边,1
171,里,度,2
172,耷,玩,1
173,去,呀,1
174,伊,将,1
175,拿,个,1
176,一,开,1
177,劈,咗,1
178,些,啲,1
179,会,识,1
180,是,房,1
181,禁,唔,1
182,止,俾,1
183,吃,食,3
184,走,行,2
185,搭,度,3
186,痛,犀,1
187,个,利,1
188,还,仲,1
189,吉,结,1
190,伊,识,1
191,会,唔,2
192,得,识,2
193,伐,㗎,3
194,想,谂,1
195,花,用,1
196,个,粒,1
197,头,先,1
198,才,至,1
199,好,做,1
200,挪,得,1
201,工,晒,1
202,作,啲,1
203,做,嘢,1
204,交,好,3
205,关,多,3
206,别,第,1
207,个,二,1
208,事,啲,1
209,体,嘢,1
210,还,都,1
211,决,话,1
212,定,事,1
213,伐,啦,1
214,到,就,1
215,也,都,2
216,点,啲,1
217,榔,包,1
218,刀,𢱕,1
219,帮,同,1
220,再,拜,2
221,会,拜,2
222,了,喇,7
223,对,时,1
224,个,话,1
225,桩,啲,1
226,事,嘢,2
227,跟,同,3
228,个,啲,1
229,了,唔,1
230,可,认,1
231,怜,得,1
232,朝,唔,1
233,要,使,1
234,里,企,3
235,向,呀,1
236,告,话,2
237,诉,我,1
238,我,知,1
239,阿,边,2
240,里,呀,1
241,电,套,1
242,影,戏,1
243,看,睇,5
244,啥,有,1
245,水,生,1
246,是,点,1
247,哪,识,1
248,能,佢,1
249,认,㗎,1
250,辰,阵,3
251,光,成,2
252,常,日,2
253,常,插,1
254,插,落,1
255,拉,个,1
256,暗,黑,1
257,了,啰,1
258,麻,喎,1
259,烦,唔,1
260,侬,该,2
261,房,屋,1
262,子,俾,1
263,被,人,1
264,堂,校,2
265,小,仔,3
266,人,多,1
267,比,过,3
268,每,朝,1
